Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
131.0,"Indiana University, Bloomington",41317.0,43710.0,14351.0,11647.0,48739.0,97100.0,76.0
132.0,DePauw University,2158.0,2253.0,22323.0,31570.0,62567.0,101000.0,67.0
133.0,Elon University,6214.0,6791.0,34459.0,14061.0,49642.0,93700.0,67.0
134.0,Clemson University,19506.0,24387.0,17696.0,10296.0,50516.0,106700.0,47.0
135.0,Fairfield University,4511.0,5192.0,36929.0,24180.0,64325.0,116900.0,61.0
136.0,James Madison University,21167.0,21836.0,20204.0,8556.0,42522.0,102600.0,75.0
137.0,Mount Holyoke College,2334.0,2393.0,26239.0,31370.0,63900.0,92100.0,51.0
138.0,Gettysburg College,2411.0,2615.0,27597.0,29795.0,66710.0,109300.0,46.0
139.0,"North Carolina State University, Raleigh",26961.0,34432.0,15024.0,10998.0,42048.0,106500.0,51.0
140.0,University of Denver,6080.0,11434.0,32174.0,26702.0,65376.0,105100.0,58.0
141.0,Fordham University,10137.0,16037.0,35694.0,27530.0,72239.0,112500.0,46.0
142.0,University of San Diego,6177.0,8905.0,34752.0,24364.0,65426.0,109400.0,50.0
143.0,Trinity University (TX),2406.0,2571.0,23144.0,26174.0,56880.0,102900.0,38.0
144.0,University of Pittsburgh,20822.0,28642.0,28331.0,12484.0,44812.0,100400.0,60.0
145.0,"Binghamton University, SUNY",14736.0,17351.0,18378.0,8062.0,40980.0,109600.0,40.0
146.0,"University of Colorado, Boulder",30976.0,35338.0,20706.0,9787.0,54312.0,109900.0,80.0
147.0,University of Delaware,20550.0,23774.0,16892.0,8798.0,47782.0,105400.0,63.0
148.0,Texas Christian University,9258.0,10489.0,35429.0,24864.0,62970.0,98700.0,41.0
149.0,College of New Jersey,7212.0,7552.0,26670.0,9936.0,45897.0,101800.0,48.0
150.0,Rhodes College,2010.0,2102.0,25629.0,30234.0,61538.0,97800.0,51.0
151.0,Florida State University,36787.0,41362.0,14582.0,6628.0,34904.0,92700.0,49.0
152.0,Stevens Institute of Technology,3144.0,6916.0,36620.0,25762.0,67204.0,139900.0,44.0
153.0,Denison University,2290.0,2341.0,24808.0,30783.0,64970.0,104800.0,37.0
154.0,Sewanee—University of the South,1778.0,1835.0,27544.0,23449.0,60950.0,97800.0,47.0
155.0,"University of Massachusetts, Amherst",26735.0,30340.0,20926.0,8867.0,48135.0,103000.0,58.0
156.0,Syracuse University,22484.0,28199.0,34173.0,27878.0,65480.0,104800.0,47.0
157.0,Sarah Lawrence College,1470.0,1696.0,33358.0,28916.0,70266.0,96100.0,53.0
158.0,St. Lawrence University,2468.0,2493.0,27691.0,31866.0,68296.0,104000.0,48.0
159.0,Michigan State University,42252.0,50019.0,18576.0,10911.0,53424.0,100800.0,72.0
160.0,University of Iowa,27051.0,32166.0,15103.0,8045.0,44251.0,99400.0,86.0
161.0,Saint Louis University,14373.0,14581.0,27341.0,23580.0,57214.0,95300.0,64.0
162.0,Seattle University,5250.0,7278.0,35021.0,22438.0,59607.0,113700.0,74.0
163.0,Manhattan School of Music,451.0,1007.0,47116.0,24906.0,66200.0,,43.0
164.0,Kalamazoo College,1436.0,1469.0,23579.0,29059.0,59267.0,94500.0,73.0
165.0,University of Dayton,8660.0,10882.0,32721.0,21293.0,57680.0,105000.0,72.0
166.0,Auburn University,23846.0,29776.0,23416.0,9030.0,49954.0,104500.0,84.0
167.0,Saint Joseph's University (PA),5705.0,8085.0,33480.0,23892.0,60854.0,105100.0,77.0
168.0,University of Vermont,12945.0,13340.0,18877.0,16347.0,56890.0,99400.0,67.0
169.0,Samford University,3446.0,5509.0,29032.0,14879.0,46474.0,90500.0,83.0
170.0,Gonzaga University,5333.0,7506.0,32623.0,21169.0,57350.0,107600.0,65.0
171.0,Wofford College,1678.0,1737.0,24722.0,28158.0,57749.0,96600.0,69.0
172.0,Providence College,4484.0,4646.0,38823.0,26359.0,64984.0,106900.0,52.0
173.0,University of Puget Sound,2545.0,2701.0,37074.0,21534.0,63510.0,101300.0,84.0
174.0,"CUNY, Baruch College",18289.0,18775.0,2695.0,8944.0,39172.0,107100.0,29.0
175.0,Loyola University Maryland,4175.0,5783.0,36350.0,26091.0,64520.0,111200.0,75.0
176.0,"SUNY, Stony Brook (Stony Brook University)",19871.0,25989.0,13770.0,9968.0,42981.0,107800.0,42.0
177.0,George Mason University,32249.0,35984.0,19779.0,8567.0,51672.0,105700.0,81.0
178.0,Chapman University,6756.0,9392.0,39228.0,26378.0,69464.0,99400.0,57.0
179.0,Muhlenberg College,2367.0,2535.0,31014.0,25282.0,65330.0,101900.0,48.0
180.0,Marquette University,8486.0,11426.0,29120.0,20717.0,55273.0,105900.0,89.0
181.0,San Diego State University,31609.0,35158.0,14030.0,7549.0,40104.0,102800.0,35.0
182.0,Northeastern University,18760.0,21489.0,29748.0,34691.0,68177.0,109700.0,27.0
183.0,"University of California, Santa Cruz",17925.0,19457.0,17877.0,18050.0,64054.0,104700.0,51.0
184.0,Lewis &amp; Clark College,2174.0,3339.0,34838.0,25539.0,62086.0,93200.0,71.0
185.0,Miami University (OH),18239.0,19700.0,21288.0,11894.0,51064.0,107300.0,68.0
186.0,"Arizona State University, Tempe",46038.0,51164.0,11163.0,12081.0,44110.0,100900.0,84.0
187.0,University of Utah,28686.0,32800.0,13728.0,7990.0,42916.0,102600.0,66.0
188.0,"University of Oklahoma, Norman",24255.0,28527.0,19254.0,9372.0,43764.0,100600.0,74.0
189.0,Marist College,6236.0,6657.0,35290.0,15637.0,54880.0,101000.0,43.0
190.0,Hobart and William Smith Colleges,2244.0,2295.0,35172.0,25110.0,69775.0,108500.0,64.0
191.0,University of Oregon,22400.0,22887.0,15693.0,8662.0,49542.0,95800.0,83.0
192.0,Drake University,3606.0,4904.0,27578.0,21239.0,54020.0,99900.0,69.0
193.0,Lawrence University,1467.0,1545.0,25117.0,28643.0,58458.0,98800.0,61.0
194.0,Creighton University,4626.0,8654.0,30427.0,20293.0,53452.0,95800.0,72.0
195.0,Hillsdale College,1520.0,1556.0,,18540.0,40552.0,,41.0
196.0,University at Buffalo (SUNY),23075.0,30648.0,17469.0,8198.0,43398.0,98000.0,57.0
197.0,University of Tulsa,3630.0,4433.0,23948.0,31812.0,59435.0,107200.0,39.0
198.0,University of Saint Thomas (MN),6424.0,9878.0,30503.0,21274.0,54647.0,106400.0,84.0
