,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon
195,196,University at Buffalo (SUNY),Buffalo,NY,Public,23075,30648,17469,8198,43398,98000,57,1080,1260,24,28,www.buffalo.edu,42.8867166,-78.8783922
196,197,University of Tulsa,Tulsa,OK,Private,3630,4433,23948,31812,59435,107200,39,1150,1440,25,32,www.utulsa.edu,36.1556805,-95.9929113
197,198,University of Saint Thomas (MN),St. Paul,MN,Private,6424,9878,30503,21274,54647,106400,84,1090,1330,24,29,www.stthomas.edu,44.9504037,-93.1015026
198,199,"University of California, Riverside",Riverside,CA,Public,21017,23279,12344,21249,62677,106900,57,1090,1300,23,29,www.ucr.edu,33.9533546,-117.3961623
199,200,Manhattan College,Riverdale,NY,Private,3727,4242,30243,18177,60212,125700,75,1050,1243,23,28,www.manhattan.edu,40.90056,-73.90639
200,201,University of South Carolina,Columbia,SC,Public,26791,34731,19519,5792,47162,89900,72,1170,1330,25,30,www.sc.edu,34.0007493,-81.0343313
201,202,Baylor University,Waco,TX,Private,14951,17059,34898,21350,60233,101400,39,1190,1360,26,31,www.baylor.edu,31.549333,-97.1466695
202,203,Bryant University,Smithfield,RI,Private,3503,3751,37730,20675,59904,108600,73,,,,,www.bryant.edu,41.9220433,-71.549507
203,204,University of Mary Washington,Fredericksburg,VA,Public,4800,4808,21227,5562,42716,98200,73,1080,1260,22,27,www.umw.edu,38.3031837,-77.4605399
204,205,Virginia Military Institute,Lexington,VA,Public,1722,1766,19905,14434,56288,120600,53,1100,1280,23,28,www.vmi.edu,37.7802145,-79.4438515
205,206,Clark University (MA),Worcester,MA,Private,2476,3153,27004,24329,55010,101400,56,,,,,www.clarku.edu,42.2761217,-71.8058232
206,207,Clarkson University,Potsdam,NY,Private,3335,4233,30563,32540,66106,130100,66,1143,1330,24,29,www.clarkson.edu,44.6697996,-74.9813349
207,208,Illinois Institute of Technology,Chicago,IL,Private,3227,7164,22098,34485,63749,118500,54,1230,1410,25,31,www.iit.edu,41.8755616,-87.6244212
208,209,Centre College,Danville,KY,Private,1443,1450,23237,26184,53910,88500,76,1170,1410,26,31,www.centre.edu,37.6456488,-84.7721823
209,210,University of San Francisco,San Francisco,CA,Private,7495,11063,32210,27943,65980,109900,66,1100,1290,22,28,www.usfca.edu,37.7790262,-122.4199061
210,211,Iowa State University,Ames,IA,Public,32814,36158,14331,7882,34442,101300,89,1160,1410,22,28,www.iastate.edu,42.0267703,-93.6170554
211,212,Louisiana State University,Baton Rouge,LA,Public,27658,30861,18181,9304,46381,102900,74,1060,1290,23,28,www.lsu.edu,30.4459596,-91.18738
212,213,Willamette University,Salem,OR,Private,2181,2498,28327,27489,62262,97700,89,,,,,www.willamette.edu,44.9391565,-123.033121
213,214,Gustavus Adolphus College,St. Peter,MN,Private,2181,2263,20050,24333,55800,96800,68,,,,,www.gustavus.edu,44.3238384,-93.9585295
214,215,Quinnipiac University,Hamden,CT,Private,7704,10200,38695,22460,63770,97700,74,1080,1260,23,27,www.quinnipiac.edu,41.3959287,-72.8968716
215,216,Butler University,Indianapolis,IN,Private,4311,5145,36413,16348,56740,99300,65,1150,1320,25,30,www.butler.edu,39.779801,-86.1394092
216,217,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,1825,2213,17923,7628,36953,97000,52,1150,1300,24,28,www.esf.edu,43.0481221,-76.1474244
217,218,University of Arizona,Tucson,AZ,Public,36862,43751,14744,11272,51707,101000,84,,,,,www.arizona.edu,32.2228765,-110.9748477
218,219,"University of Missouri, Columbia",Columbia,MO,Public,27923,30844,18602,9316,43330,98600,78,1120,1350,23,29,www.missouri.edu,38.951883,-92.3337366
219,220,The Citadel,Charleston,SC,Public,3043,3717,17935,11281,50506,108100,81,1020,1220,20,25,www.citadel.edu/root,32.7876012,-79.9402728
220,221,University of Washington Bothell,Bothell,WA,Public,5981,6175,9822,12946,51348,108000,80,1030,1230,19,26,www.uwb.edu,47.7598697,-122.2068288
221,222,Emerson College,Boston,MA,Private,4088,4459,43965,20323,65324,94300,46,1200,1360,26,30,www.emerson.edu,42.3602534,-71.0582912
222,223,"Colorado State University, Fort Collins",Fort Collins,CO,Public,28404,33083,17058,8221,43437,96100,83,1100,1300,22,28,www.colostate.edu,40.5508527,-105.0668085
223,224,"University of Tennessee, Knoxville",Knoxville,TN,Public,23803,28321,19335,8903,49350,95100,77,1140,1310,24,30,www.utk.edu,35.9603948,-83.9210261
224,225,Taylor University,Upland,IN,Private,2145,2831,24525,17726,45330,90600,87,1045,1290,22,29,www.taylor.edu,40.4755974,-85.4944168
225,226,Drexel University,Philadelphia ,PA,Private,17789,24190,37427,28767,68792,114800,79,1160,1360,24,30,www.drexel.edu,39.9527237,-75.1635262
226,227,Stonehill College,Easton,MA,Private,2498,2536,32911,22865,59560,103200,72,,,,,www.stonehill.edu,42.0245442,-71.1286594
227,228,University of South Florida,Tampa,FL,Public,37076,43540,11700,7937,32324,91300,45,1150,1310,24,29,www.usf.edu,27.9477595,-82.458444
228,229,St. Mary's College of Maryland,St. Mary's City,MD,Public,1598,1746,21025,8414,45130,95400,82,1070,1290,22,28,www.smcm.edu,38.186492,-76.43012
229,230,Bard College,Annandale-on-Hudson,NY,Private,2101,2293,26766,39096,70562,90600,58,,,,,www.bard.edu,42.0128695,-73.9081901
230,231,Washington State University,Pullman,WA,Public,27917,30614,16314,8572,41675,103700,73,1020,1220,20,26,www.wsu.edu,46.7304268,-117.173895
231,232,Truman State University,Kirksville,MO,Public,6272,6289,12537,8778,27878,85800,67,1185,1420,24,30,www.truman.edu,40.1948848,-92.5833939
232,233,Illinois Wesleyan University,Bloomington,IL,Private,1649,1791,26976,26421,58830,96000,61,1195,1395,24,29,www.iwu.edu,40.4731073,-88.9941403
233,234,"St. John's College, Annapolis",Annapolis,MD,Private,445,513,26808,33723,65409,,54,1280,1450,26,32,www.stjohnscollege.edu,38.9786401,-76.492786
234,235,"SUNY, Geneseo",Geneseo,NY,Public,5652,5792,18879,6708,34740,93300,72,1120,1300,24,29,www.geneseo.edu,42.8045378,-77.7714572
235,236,Westmont College,Santa Barbara,CA,Private,1300,1356,31039,26711,60930,102400,85,1130,1380,23,30,www.westmont.edu,34.4221319,-119.7026673
236,237,Cedarville University,Cedarville,OH,Private,3666,3886,21490,14155,39194,87300,71,1130,1350,23,29,www.cedarville.edu,39.7442268,-83.8085372
237,238,University of the Pacific (CA),Stockton,CA,Private,3639,6255,29171,26884,64796,109300,65,1070,1330,22,30,www.pacific.edu,37.9577016,-121.2907796
238,239,"University of Nebraska, Lincoln",Lincoln,NE,Public,22012,26079,17784,8538,40182,96700,64,1100,1380,22,29,www.unl.edu,40.8088861,-96.7077751
239,240,"University of Texas, Dallas",Richardson,TX,Public,18764,27642,14763,14321,45488,100900,76,1220,1430,26,32,www.utdallas.edu,32.9481789,-96.7297206
240,241,Rollins College,Winter Park,FL,Private,2894,3278,30194,30057,67775,87000,64,,,,,www.rollins.edu,28.5977707,-81.3510264
241,242,University of Central Florida,Orlando,FL,Public,65100,66059,15286,5757,38353,88600,50,1150,1320,24,29,www.ucf.edu,28.5421109,-81.3790304
242,243,Ithaca College,Ithaca,NY,Private,6488,6516,33848,25073,61339,98600,71,,,,,www.ithaca.edu,42.4396039,-76.4968019
243,244,DePaul University,Chicago,IL,Private,17838,22769,30502,20387,56275,102900,72,,,,,www.depaul.edu/Pages/default.aspx,41.8755616,-87.6244212
244,245,Missouri University of Science and Technology,Rolla,MO,Public,7192,8883,14473,8975,38684,122600,84,1100,1340,25,31,www.mst.edu,37.9509324,-91.7708076
245,246,University of New Hampshire,Durham,NH,Public,13688,15363,24529,12539,47570,100300,77,1070,1260,23,28,www.unh.edu,43.134564,-70.927048
246,247,Hope College,Holland,MI,Private,3150,3281,26175,15907,45410,90900,74,1090,1320,24,29,www.hope.edu,42.7876022,-86.1090828
247,248,Loyola University Chicago,Chicago,IL,Private,12864,16673,33036,22016,59958,96000,71,1120,1310,24,29,www.luc.edu,41.8755616,-87.6244212
248,249,Seton Hall University,South Orange,NJ,Private,6260,9801,27563,24710,57090,103800,73,1140,1280,24,28,www.shu.edu,40.7474966,-74.2635376
249,250,College of Wooster,Wooster,OH,Private,1980,2122,25442,30851,61900,91300,56,1150,1380,24,30,wooster.edu,40.7980976,-81.9397733
250,251,University of Scranton,Scranton,PA,Private,3893,5373,35298,22094,61096,99700,75,1080,1280,23,28,www.scranton.edu,41.4086874,-75.6621294
251,252,University of Alabama,Tuscaloosa,AL,Public,35625,38563,21973,16494,46744,97400,53,1050,1280,23,32,www.ua.edu,33.2095614,-87.5675258
