Rank,Name,City,Code,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon,State
178,Chapman University,Orange,CA,Private,6756,9392,39228.0,26378.0,69464,99400.0,57.0,1190.0,1360.0,25.0,30.0,www.chapman.edu,33.750037799999994,-117.87049309999999,California
179,Muhlenberg College,Allentown,PA,Private,2367,2535,31014.0,25282.0,65330,101900.0,48.0,1140.0,1340.0,25.0,30.0,www.muhlenberg.edu,40.6022059,-75.47127940000001,Pennsylvania
180,Marquette University,Milwaukee,WI,Private,8486,11426,29120.0,20717.0,55273,105900.0,89.0,1130.0,1310.0,24.0,29.0,www.marquette.edu,43.0349931,-87.92249699999999,Wisconsin
181,San Diego State University,San Diego,CA,Public,31609,35158,14030.0,7549.0,40104,102800.0,35.0,1090.0,1290.0,23.0,28.0,www.sdsu.edu,32.7174202,-117.16277279999998,California
182,Northeastern University,Boston,MA,Private,18760,21489,29748.0,34691.0,68177,109700.0,27.0,1370.0,1520.0,32.0,34.0,www.northeastern.edu,42.3602534,-71.0582912,Massachusetts
183,"University of California, Santa Cruz",Santa Cruz,CA,Public,17925,19457,17877.0,18050.0,64054,104700.0,51.0,1160.0,1340.0,26.0,31.0,www.ucsc.edu,37.050096,-121.9905908,California
184,Lewis &amp; Clark College,Portland,OR,Private,2174,3339,34838.0,25539.0,62086,93200.0,71.0,1210.0,1390.0,27.0,31.0,www.lclark.edu,45.5202471,-122.6741949,Oregon
185,Miami University (OH),Oxford,OH,Public,18239,19700,21288.0,11894.0,51064,107300.0,68.0,1190.0,1380.0,26.0,31.0,miamioh.edu,39.51030479999999,-84.7420519,Ohio
186,"Arizona State University, Tempe",Tempe,AZ,Public,46038,51164,11163.0,12081.0,44110,100900.0,84.0,1120.0,1350.0,22.0,29.0,www.asu.edu,33.4255056,-111.9400125,Arizona
187,University of Utah,Salt Lake City,UT,Public,28686,32800,13728.0,7990.0,42916,102600.0,66.0,1110.0,1350.0,22.0,29.0,www.utah.edu,40.759619799999996,-111.88679750000001,Utah
188,"University of Oklahoma, Norman",Norman,OK,Public,24255,28527,19254.0,9372.0,43764,100600.0,74.0,1150.0,1380.0,23.0,29.0,www.ou.edu,35.2225717,-97.4394816,Oklahoma
189,Marist College,Poughkeepsie,NY,Private,6236,6657,35290.0,15637.0,54880,101000.0,43.0,,,,,www.marist.edu,41.706553899999996,-73.9283672,New York
190,Hobart and William Smith Colleges,Geneva,NY,Private,2244,2295,35172.0,25110.0,69775,108500.0,64.0,1150.0,1330.0,25.0,30.0,www.hws.edu,42.869027100000004,-76.9786122,New York
191,University of Oregon,Eugene,OR,Public,22400,22887,15693.0,8662.0,49542,95800.0,83.0,1080.0,1270.0,22.0,28.0,www.uoregon.edu,44.0505054,-123.09505060000001,Oregon
192,Drake University,Des Moines,IA,Private,3606,4904,27578.0,21239.0,54020,99900.0,69.0,1100.0,1350.0,24.0,30.0,www.drake.edu,41.591032299999995,-93.6046655,Iowa
193,Lawrence University,Appleton,WI,Private,1467,1545,25117.0,28643.0,58458,98800.0,61.0,1220.0,1460.0,25.0,32.0,www.lawrence.edu,44.26113370000001,-88.40676040000001,Wisconsin
194,Creighton University,Omaha,NE,Private,4626,8654,30427.0,20293.0,53452,95800.0,72.0,1070.0,1290.0,25.0,30.0,www.creighton.edu,41.258745899999994,-95.93837579999999,Nebraska
195,Hillsdale College,Hillsdale,MI,Private,1520,1556,,18540.0,40552,,41.0,1280.0,1440.0,28.0,32.0,www.hillsdale.edu,41.8779105,-84.59843959999999,Michigan
196,University at Buffalo (SUNY),Buffalo,NY,Public,23075,30648,17469.0,8198.0,43398,98000.0,57.0,1080.0,1260.0,24.0,28.0,www.buffalo.edu,42.8867166,-78.87839220000001,New York
197,University of Tulsa,Tulsa,OK,Private,3630,4433,23948.0,31812.0,59435,107200.0,39.0,1150.0,1440.0,25.0,32.0,www.utulsa.edu,36.1556805,-95.9929113,Oklahoma
198,University of Saint Thomas (MN),St. Paul,MN,Private,6424,9878,30503.0,21274.0,54647,106400.0,84.0,1090.0,1330.0,24.0,29.0,www.stthomas.edu,44.9504037,-93.10150259999999,Minnesota
199,"University of California, Riverside",Riverside,CA,Public,21017,23279,12344.0,21249.0,62677,106900.0,57.0,1090.0,1300.0,23.0,29.0,www.ucr.edu,33.953354600000004,-117.39616229999999,California
200,Manhattan College,Riverdale,NY,Private,3727,4242,30243.0,18177.0,60212,125700.0,75.0,1050.0,1243.0,23.0,28.0,www.manhattan.edu,40.90056,-73.90639,New York
201,University of South Carolina,Columbia,SC,Public,26791,34731,19519.0,5792.0,47162,89900.0,72.0,1170.0,1330.0,25.0,30.0,www.sc.edu,34.000749299999995,-81.03433129999999,South Carolina
202,Baylor University,Waco,TX,Private,14951,17059,34898.0,21350.0,60233,101400.0,39.0,1190.0,1360.0,26.0,31.0,www.baylor.edu,31.549333,-97.1466695,Texas
203,Bryant University,Smithfield,RI,Private,3503,3751,37730.0,20675.0,59904,108600.0,73.0,,,,,www.bryant.edu,41.9220433,-71.54950699999999,Rhode Island
204,University of Mary Washington,Fredericksburg,VA,Public,4800,4808,21227.0,5562.0,42716,98200.0,73.0,1080.0,1260.0,22.0,27.0,www.umw.edu,38.303183700000005,-77.46053990000001,Virginia
205,Virginia Military Institute,Lexington,VA,Public,1722,1766,19905.0,14434.0,56288,120600.0,53.0,1100.0,1280.0,23.0,28.0,www.vmi.edu,37.7802145,-79.44385150000001,Virginia
206,Clark University (MA),Worcester,MA,Private,2476,3153,27004.0,24329.0,55010,101400.0,56.0,,,,,www.clarku.edu,42.2761217,-71.8058232,Massachusetts
207,Clarkson University,Potsdam,NY,Private,3335,4233,30563.0,32540.0,66106,130100.0,66.0,1143.0,1330.0,24.0,29.0,www.clarkson.edu,44.669799600000005,-74.98133490000001,New York
208,Illinois Institute of Technology,Chicago,IL,Private,3227,7164,22098.0,34485.0,63749,118500.0,54.0,1230.0,1410.0,25.0,31.0,www.iit.edu,41.875561600000005,-87.6244212,Illinois
209,Centre College,Danville,KY,Private,1443,1450,23237.0,26184.0,53910,88500.0,76.0,1170.0,1410.0,26.0,31.0,www.centre.edu,37.6456488,-84.7721823,Kentucky
210,University of San Francisco,San Francisco,CA,Private,7495,11063,32210.0,27943.0,65980,109900.0,66.0,1100.0,1290.0,22.0,28.0,www.usfca.edu,37.779026200000004,-122.4199061,California
211,Iowa State University,Ames,IA,Public,32814,36158,14331.0,7882.0,34442,101300.0,89.0,1160.0,1410.0,22.0,28.0,www.iastate.edu,42.026770299999995,-93.6170554,Iowa
212,Louisiana State University,Baton Rouge,LA,Public,27658,30861,18181.0,9304.0,46381,102900.0,74.0,1060.0,1290.0,23.0,28.0,www.lsu.edu,30.445959600000002,-91.18738,Louisiana
213,Willamette University,Salem,OR,Private,2181,2498,28327.0,27489.0,62262,97700.0,89.0,,,,,www.willamette.edu,44.9391565,-123.033121,Oregon
214,Gustavus Adolphus College,St. Peter,MN,Private,2181,2263,20050.0,24333.0,55800,96800.0,68.0,,,,,www.gustavus.edu,44.3238384,-93.9585295,Minnesota
215,Quinnipiac University,Hamden,CT,Private,7704,10200,38695.0,22460.0,63770,97700.0,74.0,1080.0,1260.0,23.0,27.0,www.quinnipiac.edu,41.3959287,-72.89687159999998,Connecticut
216,Butler University,Indianapolis,IN,Private,4311,5145,36413.0,16348.0,56740,99300.0,65.0,1150.0,1320.0,25.0,30.0,www.butler.edu,39.779801,-86.1394092,Indiana
217,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,1825,2213,17923.0,7628.0,36953,97000.0,52.0,1150.0,1300.0,24.0,28.0,www.esf.edu,43.0481221,-76.1474244,New York
218,University of Arizona,Tucson,AZ,Public,36862,43751,14744.0,11272.0,51707,101000.0,84.0,,,,,www.arizona.edu,32.2228765,-110.9748477,Arizona
219,"University of Missouri, Columbia",Columbia,MO,Public,27923,30844,18602.0,9316.0,43330,98600.0,78.0,1120.0,1350.0,23.0,29.0,www.missouri.edu,38.951883,-92.3337366,Missouri
220,The Citadel,Charleston,SC,Public,3043,3717,17935.0,11281.0,50506,108100.0,81.0,1020.0,1220.0,20.0,25.0,www.citadel.edu/root,32.7876012,-79.9402728,South Carolina
221,University of Washington Bothell,Bothell,WA,Public,5981,6175,9822.0,12946.0,51348,108000.0,80.0,1030.0,1230.0,19.0,26.0,www.uwb.edu,47.7598697,-122.2068288,Washington
