,Member Institution,Conference,Division
71,Fordham University,Atlantic 10 Conference,1
72,Furman University,Southern Conference,1
73,Gardner-Webb University,Big South Conference,1
74,George Mason University,Atlantic 10 Conference,1
75,George Washington University,Atlantic 10 Conference,1
76,Georgetown University,Big East Conference,1
77,Georgia Institute of Technology,Atlantic Coast Conference,1
78,Georgia Southern University,Southland Conference,1
79,Georgia State University,Sun Belt Conference,1
80,Gonzaga University,West Coast Conference,1
81,Grambling State University,Southwestern Athletic Conf.,1
82,Grand Canyon University,Western Athletic Conference,1
83,Hampton University,Big South Conference,1
84,Harvard University,The Ivy League,1
85,High Point University,Big South Conference,1
86,Hofstra University,Colonial Athletic Association,1
87,Houston Baptist University,Southland Conference,1
88,Howard University,Mid-Eastern Athletic Conf.,1
89,Idaho State University,Big Sky Conference,1
90,Illinois State University,Missouri Valley Conference,1
91,Indiana State University,Missouri Valley Conference,1
92,"Indiana University, Bloomington",Big Ten Conference,1
93,Indiana University-Purdue University Indianapolis,Horizon League,1
94,Iona College,Metro Atlantic Athletic Conference,1
95,Iowa State University,Big 12 Conference,1
96,Jackson State University,Southwestern Athletic Conf.,1
97,Jacksonville State University,Ohio Valley Conference,1
98,Jacksonville University,ASUN Conference,1
99,James Madison University,Colonial Athletic Association,1
100,Kansas State University,Big 12 Conference,1
101,Kennesaw State University,ASUN Conference,1
102,Kent State University,Mid-American Conference,1
103,La Salle University,Atlantic 10 Conference,1
104,Lafayette College,Patriot League,1
105,Lamar University,Southland Conference,1
106,Lehigh University,Patriot League,1
107,Liberty University,ASUN Conference,1
108,Lipscomb University,ASUN Conference,1
109,Long Beach State University,Big West Conference,1
110,Long Island University,Northeast Conference,1
111,Longwood University,Big South Conference,1
112,Louisiana State University,Southeastern Conference,1
113,Louisiana Tech University,Conference USA,1
114,Loyola Marymount University,West Coast Conference,1
115,Loyola University Chicago,Missouri Valley Conference,1
116,Loyola University Maryland,Patriot League,1
117,Manhattan College,Metro Atlantic Athletic Conference,1
118,Marist College,Metro Atlantic Athletic Conference,1
119,Marquette University,Big East Conference,1
120,Marshall University,Conference USA,1
121,McNeese State University,Southland Conference,1
122,Mercer University,Southern Conference,1
123,Merrimack College,Northeast Conference,1
124,Miami University (Ohio),Mid-American Conference,1
125,Michigan State University,Big Ten Conference,1
126,Middle Tennessee State University,Conference USA,1
127,Mississippi State University,Southeastern Conference,1
128,Mississippi Valley State University,Southwestern Athletic Conf.,1
129,Missouri State University,Missouri Valley Conference,1
130,Monmouth University,Metro Atlantic Athletic Conference,1
131,Montana State University-Bozeman,Big Sky Conference,1
132,Morehead State University,Ohio Valley Conference,1
133,Morgan State University,Mid-Eastern Athletic Conf.,1
134,Mount St. Mary's University,Northeast Conference,1
135,Murray State University,Ohio Valley Conference,1
136,New Jersey Institute of Technology,ASUN Conference,1
137,New Mexico State University,Western Athletic Conference,1
138,Niagara University,Metro Atlantic Athletic Conference,1
139,Nicholls State University,Southland Conference,1
140,Norfolk State University,Mid-Eastern Athletic Conf.,1
141,North Carolina A&T State University,Mid-Eastern Athletic Conf.,1
142,North Carolina Central University,Mid-Eastern Athletic Conf.,1
143,North Carolina State University,Atlantic Coast Conference,1
144,North Dakota State University,The Summit League,1
145,Northeastern University,Colonial Athletic Association,1
146,Northern Arizona University,Big Sky Conference,1
147,Northern Illinois University,Mid-American Conference,1
148,Northern Kentucky University,Horizon League,1
149,Northwestern State University,Southland Conference,1
150,Northwestern University,Big Ten Conference,1
151,Oakland University,Horizon League,1
152,Ohio University,Mid-American Conference,1
153,Oklahoma State University,Big 12 Conference,1
154,Old Dominion University,Conference USA,1
155,Oral Roberts University,The Summit League,1
156,Oregon State University,Pac-12 Conference,1
157,Pennsylvania State University,Big Ten Conference,1
158,Pepperdine University,West Coast Conference,1
159,Portland State University,Big Sky Conference,1
160,Prairie View A&M University,Southwestern Athletic Conf.,1
161,Presbyterian College,Big South Conference,1
162,Princeton University,The Ivy League,1
163,Providence College,Big East Conference,1
164,Purdue University,Big Ten Conference,1
165,Purdue University Fort Wayne,The Summit League,1
166,Quinnipiac University,Metro Atlantic Athletic Conference,1
167,Radford University,Big South Conference,1
168,Rice University,Conference USA,1
169,Rider University,Metro Atlantic Athletic Conference,1
170,Robert Morris University,Northeast Conference,1
171,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,1
172,Sacred Heart University,Northeast Conference,1
173,Saint Francis University (Pennsylvania),Northeast Conference,1
174,Saint Joseph's University,Atlantic 10 Conference,1
175,Saint Louis University,Atlantic 10 Conference,1
176,Saint Mary's College of California,West Coast Conference,1
177,Saint Peter's University,Metro Atlantic Athletic Conference,1
178,Sam Houston State University,Southland Conference,1
179,Samford University,Southern Conference,1
180,San Diego State University,Mountain West Conference,1
181,San Jose State University,Mountain West Conference,1
182,Santa Clara University,West Coast Conference,1
183,Seattle University,Western Athletic Conference,1
184,Seton Hall University,Big East Conference,1
185,Siena College,Metro Atlantic Athletic Conference,1
186,South Carolina State University,Mid-Eastern Athletic Conf.,1
187,South Dakota State University,The Summit League,1
188,Southeast Missouri State University,Ohio Valley Conference,1
189,Southeastern Louisiana University,Southland Conference,1
190,Southern Illinois University at Carbondale,Missouri Valley Conference,1
191,Southern Illinois University Edwardsville,Ohio Valley Conference,1
192,Southern Methodist University,American Athletic Conference,1
193,"Southern University, Baton Rouge",Southwestern Athletic Conf.,1
194,Southern Utah University,Big Sky Conference,1
195,St. Bonaventure University,Atlantic 10 Conference,1
196,St. Francis College Brooklyn,Northeast Conference,1
197,St. John's University (New York),Big East Conference,1
198,Stanford University,Pac-12 Conference,1
199,Stephen F. Austin State University,Southland Conference,1
200,Stetson University,ASUN Conference,1
201,Stony Brook University,America East Conference,1
202,Syracuse University,Atlantic Coast Conference,1
203,Temple University,American Athletic Conference,1
204,Tennessee State University,Ohio Valley Conference,1
205,Tennessee Technological University,Ohio Valley Conference,1
206,"Texas A&M University, College Station",Southeastern Conference,1
207,Texas A&M University-Corpus Christi,Southland Conference,1
208,Texas Christian University,Big 12 Conference,1
209,Texas Southern University,Southwestern Athletic Conf.,1
210,Texas State University,Sun Belt Conference,1
211,Texas Tech University,Big 12 Conference,1
212,The Citadel,Southern Conference,1
213,The Ohio State University,Big Ten Conference,1
214,The University of North Carolina at Charlotte,Conference USA,1
215,The University of North Carolina at Greensboro,Southern Conference,1
216,The University of Southern Mississippi,Conference USA,1
217,The University of Texas Rio Grande Valley,Western Athletic Conference,1
218,The University of Tulsa,American Athletic Conference,1
219,Towson University,Colonial Athletic Association,1
220,Troy University,Sun Belt Conference,1
221,Tulane University,American Athletic Conference,1
222,U.S. Air Force Academy,Mountain West Conference,1
223,U.S. Military Academy,Patriot League,1
224,U.S. Naval Academy,Patriot League,1
225,University at Albany,America East Conference,1
226,"University at Buffalo, the State University of New York",Mid-American Conference,1
227,University of Akron,Mid-American Conference,1
228,University of Alabama,Southeastern Conference,1
229,University of Alabama at Birmingham,Conference USA,1
230,University of Arizona,Pac-12 Conference,1
231,University of Arkansas at Little Rock,Sun Belt Conference,1
232,"University of Arkansas, Fayetteville",Southeastern Conference,1
233,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,1
234,"University of California, Berkeley",Pac-12 Conference,1
235,"University of California, Davis",Big West Conference,1
236,"University of California, Irvine",Big West Conference,1
237,"University of California, Los Angeles",Pac-12 Conference,1
238,"University of California, Riverside",Big West Conference,1
239,"University of California, Santa Barbara",Big West Conference,1
240,University of Central Arkansas,Southland Conference,1
241,University of Central Florida,American Athletic Conference,1
242,University of Cincinnati,American Athletic Conference,1
243,"University of Colorado, Boulder",Pac-12 Conference,1
244,University of Connecticut,American Athletic Conference,1
245,University of Dayton,Atlantic 10 Conference,1
246,University of Delaware,Colonial Athletic Association,1
247,University of Denver,The Summit League,1
248,University of Detroit Mercy,Horizon League,1
249,University of Evansville,Missouri Valley Conference,1
250,University of Florida,Southeastern Conference,1
251,University of Georgia,Southeastern Conference,1
252,University of Hartford,America East Conference,1
253,"University of Hawaii, Manoa",Big West Conference,1
254,University of Houston,American Athletic Conference,1
255,University of Idaho,Big Sky Conference,1
256,University of Illinois at Chicago,Horizon League,1
257,University of Illinois Urbana-Champaign,Big Ten Conference,1
258,University of Iowa,Big Ten Conference,1
259,University of Kansas,Big 12 Conference,1
260,University of Kentucky,Southeastern Conference,1
261,University of Louisiana at Lafayette,Sun Belt Conference,1
262,University of Louisiana Monroe,Sun Belt Conference,1
263,University of Louisville,Atlantic Coast Conference,1
264,University of Maine,America East Conference,1
265,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,1
266,"University of Maryland, Baltimore County",America East Conference,1
267,"University of Maryland, College Park",Big Ten Conference,1
268,University of Massachusetts Lowell,America East Conference,1
269,"University of Massachusetts, Amherst",Atlantic 10 Conference,1
270,University of Memphis,American Athletic Conference,1
271,University of Miami (Florida),Atlantic Coast Conference,1
272,University of Michigan,Big Ten Conference,1
273,"University of Minnesota, Twin Cities",Big Ten Conference,1
274,University of Mississippi,Southeastern Conference,1
275,"University of Missouri, Columbia",Southeastern Conference,1
276,University of Missouri-Kansas City,Western Athletic Conference,1
277,University of Montana,Big Sky Conference,1
278,University of Nebraska Omaha,The Summit League,1
279,"University of Nebraska, Lincoln",Big Ten Conference,1
280,"University of Nevada, Las Vegas",Mountain West Conference,1
281,"University of Nevada, Reno",Mountain West Conference,1
282,University of New Hampshire,America East Conference,1
283,University of New Mexico,Mountain West Conference,1
284,University of New Orleans,Southland Conference,1
285,University of North Alabama,ASUN Conference,1
286,University of North Carolina Asheville,Big South Conference,1
287,University of North Carolina Wilmington,Colonial Athletic Association,1
288,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,1
289,University of North Dakota,The Summit League,1
290,University of North Florida,ASUN Conference,1
291,University of North Texas,Conference USA,1
292,University of Northern Colorado,Big Sky Conference,1
293,University of Northern Iowa,Missouri Valley Conference,1
294,University of Notre Dame,Atlantic Coast Conference,1
295,University of Oklahoma,Big 12 Conference,1
296,University of Oregon,Pac-12 Conference,1
297,University of Pennsylvania,The Ivy League,1
298,University of Pittsburgh,Atlantic Coast Conference,1
299,University of Portland,West Coast Conference,1
300,University of Rhode Island,Atlantic 10 Conference,1
301,University of Richmond,Atlantic 10 Conference,1
302,University of San Diego,West Coast Conference,1
303,University of San Francisco,West Coast Conference,1
304,University of South Alabama,Sun Belt Conference,1
305,University of South Carolina Upstate,Big South Conference,1
306,"University of South Carolina, Columbia",Southeastern Conference,1
307,University of South Dakota,The Summit League,1
308,University of South Florida,American Athletic Conference,1
309,University of Southern California,Pac-12 Conference,1
310,University of Tennessee at Chattanooga,Southern Conference,1
311,University of Tennessee at Martin,Ohio Valley Conference,1
312,"University of Tennessee, Knoxville",Southeastern Conference,1
313,University of Texas at Arlington,Sun Belt Conference,1
314,University of Texas at Austin,Big 12 Conference,1
315,University of Texas at El Paso,Conference USA,1
316,University of Texas at San Antonio,Conference USA,1
317,University of the Incarnate Word,Southland Conference,1
318,University of the Pacific,West Coast Conference,1
319,University of Toledo,Mid-American Conference,1
320,University of Utah,Pac-12 Conference,1
321,University of Vermont,America East Conference,1
322,University of Virginia,Atlantic Coast Conference,1
323,University of Washington,Pac-12 Conference,1
324,University of Wisconsin-Green Bay,Horizon League,1
325,University of Wisconsin-Madison,Big Ten Conference,1
326,University of Wisconsin-Milwaukee,Horizon League,1
327,University of Wyoming,Mountain West Conference,1
328,Utah State University,Mountain West Conference,1
329,Utah Valley University,Western Athletic Conference,1
330,Valparaiso University,Missouri Valley Conference,1
331,Vanderbilt University,Southeastern Conference,1
332,Villanova University,Big East Conference,1
333,Virginia Commonwealth University,Atlantic 10 Conference,1
334,Virginia Military Institute,Southern Conference,1
335,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,1
336,Wagner College,Northeast Conference,1
337,Wake Forest University,Atlantic Coast Conference,1
338,Washington State University,Pac-12 Conference,1
339,Weber State University,Big Sky Conference,1
340,West Virginia University,Big 12 Conference,1
341,Western Carolina University,Southern Conference,1
342,Western Illinois University,The Summit League,1
343,Western Kentucky University,Conference USA,1
344,Western Michigan University,Mid-American Conference,1
345,Wichita State University,American Athletic Conference,1
346,William & Mary,Colonial Athletic Association,1
347,Winthrop University,Big South Conference,1
348,Wofford College,Southern Conference,1
349,Wright State University,Horizon League,1
350,Xavier University,Big East Conference,1
351,Yale University,The Ivy League,1
352,Youngstown State University,Horizon League,1
353,Academy of Art University,Pacific West Conference,2
354,Adams State University,Rocky Mountain Athletic Conference,2
355,Adelphi University,Northeast-10 Conference,2
356,Albany State University (Georgia),Southern Intercol. Ath. Conf.,2
357,Alderson Broaddus University,Great Midwest Athletic Conference,2
358,American International College,Northeast-10 Conference,2
359,Anderson University (South Carolina),South Atlantic Conference,2
360,Angelo State University,Lone Star Conference,2
361,Arkansas Tech University,Great American Conference,2
362,Ashland University,Great Lakes Intercollegiate Athletic Conference,2
363,Assumption College,Northeast-10 Conference,2
364,Auburn University at Montgomery,Gulf South Conference,2
365,Augusta University,Peach Belt Conference,2
366,Augustana University (South Dakota),Northern Sun Intercollegiate Conference,2
367,Azusa Pacific University,Pacific West Conference,2
368,Barry University,Sunshine State Conference,2
369,Barton College,Conference Carolinas,2
370,Bellarmine University,Great Lakes Valley Conference,2
371,Belmont Abbey College,Conference Carolinas,2
372,Bemidji State University,Northern Sun Intercollegiate Conference,2
373,Benedict College,Southern Intercol. Ath. Conf.,2
374,Bentley University,Northeast-10 Conference,2
375,Biola University,Pacific West Conference,2
376,Black Hills State University,Rocky Mountain Athletic Conference,2
377,Bloomfield College,Central Atlantic Collegiate Conference,2
378,Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
379,Bluefield State College,Independent,2
380,Bowie State University,Central Intercollegiate Athletic Association,2
381,Brevard College,Central Atlantic Collegiate Conference,2
382,Caldwell University,California Collegiate Athletic Association,2
383,"California State Polytechnic University, Pomona",California Collegiate Athletic Association,2
384,"California State University, Chico",California Collegiate Athletic Association,2
385,"California State University, Dominguez Hills",California Collegiate Athletic Association,2
386,"California State University, East Bay",California Collegiate Athletic Association,2
387,"California State University, Los Angeles",California Collegiate Athletic Association,2
388,"California State University, Monterey Bay",California Collegiate Athletic Association,2
389,"California State University, San Bernardino",California Collegiate Athletic Association,2
390,"California State University, San Marcos",California Collegiate Athletic Association,2
391,"California State University, Stanislaus",Pennsylvania State Athletic Conference,2
392,California University of Pennsylvania,Lone Star Conference,2
393,Cameron University,South Atlantic Conference,2
394,Carson-Newman University,South Atlantic Conference,2
395,Catawba College,Great Midwest Athletic Conference,2
396,Cedarville University,Southern Intercol. Ath. Conf.,2
397,Central State University,Great Northwest Athletic Conference,2
398,Central Washington University,Rocky Mountain Athletic Conference,2
399,Chadron State College,Pacific West Conference,2
400,Chaminade University,Central Atlantic Collegiate Conference,2
401,Chestnut Hill College,Conference Carolinas,2
402,Chowan University,Gulf South Conference,2
403,Christian Brothers University,Central Intercollegiate Athletic Association,2
404,Claflin University,Pennsylvania State Athletic Conference,2
405,Clarion University of Pennsylvania,Southern Intercol. Ath. Conf.,2
406,Clark Atlanta University,Peach Belt Conference,2
407,Clayton State University,South Atlantic Conference,2
408,Coker University,City University of New York Athletic Conference,2
409,Colorado Christian University,Rocky Mountain Athletic Conference,2
410,Colorado Mesa University,Rocky Mountain Athletic Conference,2
411,Colorado School of Mines,Rocky Mountain Athletic Conference,2
412,Colorado State University-Pueblo,Rocky Mountain Athletic Conference,2
413,Columbus State University,Peach Belt Conference,2
414,Concord University,Mountain East Conference,2
415,Concordia College (New York),Central Atlantic Collegiate Conference,2
416,Concordia University Irvine,Pacific West Conference,2
417,"Concordia University, St. Paul",Northern Sun Intercollegiate Conference,2
418,Converse College,Conference Carolinas,2
419,Daemen College,East Coast Conference,2
420,Dallas Baptist University,Lone Star Conference,2
421,Davenport University,Great Lakes Intercollegiate Athletic Conference,2
422,Davis & Elkins College,Mountain East Conference,2
423,Delta State University,Gulf South Conference,2
424,Dixie State University,Rocky Mountain Athletic Conference,2
425,Dominican College (New York),Central Atlantic Collegiate Conference,2
426,Dominican University of California,Pacific West Conference,2
427,Drury University,Great Lakes Valley Conference,2
428,East Central University,Great American Conference,2
429,East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
430,Eastern New Mexico University,Lone Star Conference,2
431,Eckerd College,Sunshine State Conference,2
432,Edinboro University of Pennsylvania,Pennsylvania State Athletic Conference,2
433,Elizabeth City State University,Central Intercollegiate Athletic Association,2
434,Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,2
435,Emmanuel College (Georgia),Conference Carolinas,2
436,Emporia State University,Mid-America Intercollegiate Athletics Association,2
437,Erskine College,Conference Carolinas,2
438,Fairmont State University,Mountain East Conference,2
439,Fayetteville State University,Central Intercollegiate Athletic Association,2
440,Felician University,Central Atlantic Collegiate Conference,2
441,Ferris State University,Great Lakes Intercollegiate Athletic Conference,2
442,Flagler College,Peach Belt Conference,2
443,Florida Institute of Technology,Sunshine State Conference,2
444,Florida Southern College,Sunshine State Conference,2
445,Fort Hays State University,Mid-America Intercollegiate Athletics Association,2
446,Fort Lewis College,Rocky Mountain Athletic Conference,2
447,Fort Valley State University,Southern Intercol. Ath. Conf.,2
448,Francis Marion University,Peach Belt Conference,2
449,Franklin Pierce University,Northeast-10 Conference,2
450,Fresno Pacific University,Pacific West Conference,2
451,Frostburg State University,Mountain East Conference,2
452,Gannon University,Pennsylvania State Athletic Conference,2
453,Georgia College,Peach Belt Conference,2
454,Georgia Southwestern State University,Peach Belt Conference,2
455,Georgian Court University,Central Atlantic Collegiate Conference,2
456,Glenville State College,Mountain East Conference,2
457,Goldey-Beacom College,Central Atlantic Collegiate Conference,2
458,Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,2
459,Harding University,Great American Conference,2
460,Hawaii Pacific University,Pacific West Conference,2
461,Henderson State University,Great American Conference,2
462,Hillsdale College,Great Midwest Athletic Conference,2
463,Holy Family University,Central Atlantic Collegiate Conference,2
464,Holy Names University,Pacific West Conference,2
465,Humboldt State University,California Collegiate Athletic Association,2
466,Indiana University of Pennsylvania,Pennsylvania State Athletic Conference,2
467,Johnson C. Smith University,Central Intercollegiate Athletic Association,2
468,Kentucky State University,Southern Intercol. Ath. Conf.,2
469,Kentucky Wesleyan College,Great Midwest Athletic Conference,2
470,King University,Conference Carolinas,2
471,Kutztown University of Pennsylvania,Pennsylvania State Athletic Conference,2
472,Lake Erie College,Great Midwest Athletic Conference,2
473,Lake Superior State University,Great Lakes Intercollegiate Athletic Conference,2
474,Lander University,Peach Belt Conference,2
475,Lane College,Southern Intercol. Ath. Conf.,2
476,Le Moyne College,Northeast-10 Conference,2
477,Lee University,Gulf South Conference,2
478,Lees-McRae College,Conference Carolinas,2
479,LeMoyne-Owen College,Southern Intercol. Ath. Conf.,2
480,Lenoir-Rhyne University,South Atlantic Conference,2
481,Lewis University,Great Lakes Valley Conference,2
482,Limestone College,Conference Carolinas,2
483,Lincoln Memorial University,South Atlantic Conference,2
484,Lincoln University (Missouri),Mid-America Intercollegiate Athletics Association,2
485,Lincoln University (Pennsylvania),Central Intercollegiate Athletic Association,2
486,Lindenwood University,Great Lakes Valley Conference,2
487,Livingstone College,Central Intercollegiate Athletic Association,2
488,Lock Haven University of Pennsylvania,Pennsylvania State Athletic Conference,2
489,Lubbock Christian University,Lone Star Conference,2
490,Lynn University,Sunshine State Conference,2
491,Malone University,Great Midwest Athletic Conference,2
492,Mansfield University of Pennsylvania,Pennsylvania State Athletic Conference,2
493,Mars Hill University,South Atlantic Conference,2
494,Maryville University of Saint Louis,Great Lakes Valley Conference,2
495,McKendree University,Great Lakes Valley Conference,2
496,Mercy College,East Coast Conference,2
497,Mercyhurst University,Pennsylvania State Athletic Conference,2
498,Metropolitan State University of Denver,Rocky Mountain Athletic Conference,2
499,Michigan Technological University,Great Lakes Intercollegiate Athletic Conference,2
500,Midwestern State University,Lone Star Conference,2
501,Miles College,Southern Intercol. Ath. Conf.,2
502,Millersville University of Pennsylvania,Pennsylvania State Athletic Conference,2
503,Minnesota State University Moorhead,Northern Sun Intercollegiate Conference,2
504,"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,2
505,Minot State University,Northern Sun Intercollegiate Conference,2
506,Mississippi College,Gulf South Conference,2
507,Missouri Southern State University,Mid-America Intercollegiate Athletics Association,2
508,Missouri University of Science and Technology,Great Lakes Valley Conference,2
509,Missouri Western State University,Mid-America Intercollegiate Athletics Association,2
510,Molloy College,East Coast Conference,2
511,Montana State University Billings,Great Northwest Athletic Conference,2
512,Morehouse College,Southern Intercol. Ath. Conf.,2
513,New Mexico Highlands University,Rocky Mountain Athletic Conference,2
514,New York Institute of Technology,East Coast Conference,2
515,Newberry College,South Atlantic Conference,2
516,Newman University,Mid-America Intercollegiate Athletics Association,2
517,North Greenville University,Conference Carolinas,2
518,Northeastern State University,Mid-America Intercollegiate Athletics Association,2
519,Northern Michigan University,Great Lakes Intercollegiate Athletic Conference,2
520,Northern State University,Northern Sun Intercollegiate Conference,2
521,Northwest Missouri State University,Mid-America Intercollegiate Athletics Association,2
522,Northwest Nazarene University,Great Northwest Athletic Conference,2
523,Northwestern Oklahoma State University,Great American Conference,2
524,Northwood University,Great Lakes Intercollegiate Athletic Conference,2
525,Notre Dame College (Ohio),Mountain East Conference,2
526,Nova Southeastern University,Sunshine State Conference,2
527,Nyack College,Central Atlantic Collegiate Conference,2
528,Oakland City University,Independent,2
529,Ohio Dominican University,Great Midwest Athletic Conference,2
530,Ohio Valley University,Great Midwest Athletic Conference,2
531,Oklahoma Baptist University,Great American Conference,2
532,Oklahoma Christian University,Lone Star Conference,2
533,Ouachita Baptist University,Great American Conference,2
534,Pace University,Northeast-10 Conference,2
535,Paine College,Southern Intercol. Ath. Conf.,2
536,Palm Beach Atlantic University,Sunshine State Conference,2
537,Pittsburg State University,Mid-America Intercollegiate Athletics Association,2
538,Point Loma Nazarene University,Pacific West Conference,2
539,Post University,Central Atlantic Collegiate Conference,2
540,Purdue University Northwest,Great Lakes Intercollegiate Athletic Conference,2
541,Queens College (New York),East Coast Conference,2
542,Queens University of Charlotte,South Atlantic Conference,2
543,Quincy University,Great Lakes Valley Conference,2
544,Regis University (Colorado),Rocky Mountain Athletic Conference,2
545,Roberts Wesleyan College,East Coast Conference,2
546,Rockhurst University,Great Lakes Valley Conference,2
547,Rogers State University,Mid-America Intercollegiate Athletics Association,2
548,Rollins College,Sunshine State Conference,2
549,Saginaw Valley State University,Great Lakes Intercollegiate Athletic Conference,2
550,Saint Anselm College,Northeast-10 Conference,2
551,Saint Augustine's University,Central Intercollegiate Athletic Association,2
552,Saint Leo University,Sunshine State Conference,2
553,Saint Martin's University,Great Northwest Athletic Conference,2
554,Saint Michael's College,Northeast-10 Conference,2
555,Salem University (West Virginia),Independent,2
556,San Francisco State University,California Collegiate Athletic Association,2
557,Savannah State University,Southern Intercol. Ath. Conf.,2
558,Seattle Pacific University,Great Northwest Athletic Conference,2
559,Seton Hill University,Pennsylvania State Athletic Conference,2
560,Shaw University,Central Intercollegiate Athletic Association,2
561,Shepherd University,Pennsylvania State Athletic Conference,2
562,Shippensburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
563,Shorter University,Gulf South Conference,2
564,Simon Fraser University,Great Northwest Athletic Conference,2
565,Slippery Rock University of Pennsylvania,Pennsylvania State Athletic Conference,2
566,Sonoma State University,California Collegiate Athletic Association,2
567,South Dakota School of Mines & Technology,Rocky Mountain Athletic Conference,2
568,Southeastern Oklahoma State University,Great American Conference,2
569,Southern Arkansas University,Great American Conference,2
570,Southern Connecticut State University,Northeast-10 Conference,2
571,Southern Nazarene University,Great American Conference,2
572,Southern New Hampshire University,Northeast-10 Conference,2
573,Southern Wesleyan University,Conference Carolinas,2
574,Southwest Baptist University,Great Lakes Valley Conference,2
575,Southwest Minnesota State University,Northern Sun Intercollegiate Conference,2
576,Southwestern Oklahoma State University,Great American Conference,2
577,Spring Hill College,Southern Intercol. Ath. Conf.,2
578,St. Cloud State University,Northern Sun Intercollegiate Conference,2
579,St. Edward's University,Lone Star Conference,2
580,St. Mary's University (Texas),Lone Star Conference,2
581,St. Thomas Aquinas College,East Coast Conference,2
582,Stonehill College,Northeast-10 Conference,2
583,Tarleton State University,Lone Star Conference,2
584,Texas A&M International University,Lone Star Conference,2
585,Texas A&M University-Commerce,Lone Star Conference,2
586,Texas A&M University-Kingsville,Lone Star Conference,2
587,Texas Woman's University,Lone Star Conference,2
588,The College of Saint Rose,Northeast-10 Conference,2
589,The University of Texas at Tyler,Lone Star Conference,2
590,The University of Virginia's College at Wise,South Atlantic Conference,2
